Date,AAPL,MSFT,ASML.AS,^GSPC,^IRX,EURUSD=X
2016-01-01,,,,,,1.0859060287475586
<<<<<<< Updated upstream
2016-01-04,23.73094367980957,47.87417984008789,72.28437805175781,2012.6600341796875,0.1550000011920929,1.085399150848389
2016-01-05,23.136266708374023,48.09259796142578,72.85301971435547,2016.7099609375,0.2049999982118606,1.0827549695968628
2016-01-06,22.683496475219727,47.21897888183594,71.15604400634766,1990.260009765625,0.2049999982118606,1.0751993656158447
2016-01-07,21.72614860534668,45.57656478881836,69.49514770507812,1943.0899658203125,0.1899999976158142,1.0778998136520386
2016-01-08,21.841033935546875,45.71635437011719,66.56153869628906,1922.030029296875,0.1899999976158142,1.0925976037979126
2016-01-11,22.194690704345703,45.69014358520508,68.32170104980469,1923.6700439453125,0.1749999970197677,1.0941038131713867
2016-01-12,22.516801834106445,46.10948944091797,68.59251403808594,1938.6800537109375,0.209999993443489,1.0857999324798584
2016-01-13,21.93789291381836,45.113563537597656,68.0147933959961,1890.280029296875,0.2150000035762787,1.0843987464904783
2016-01-14,22.417688369750977,46.39777755737305,67.85234832763672,1921.8399658203125,0.2399999946355819,1.0886012315750122
2016-01-15,21.879323959350582,44.545711517333984,64.7652587890625,1880.3299560546875,0.2230000048875808,1.085894227027893
2016-01-18,21.879323959350582,44.545711517333984,65.41516876220703,1880.3299560546875,0.2230000048875808,1.0920010805130005
2016-01-19,21.773452758789062,44.17005157470703,66.61568450927734,1881.3299560546875,0.2300000041723251,1.0895025730133057
2016-01-20,21.802734375,44.3709831237793,69.7118148803711,1859.3299560546875,0.2529999911785126,1.09129798412323
2016-01-21,21.692359924316406,44.10015869140625,72.74471282958984,1868.989990234375,0.2730000019073486,1.0877013206481934
2016-01-22,22.84567642211914,45.681419372558594,75.46170043945312,1906.9000244140625,0.2879999876022339,1.0862009525299072
2016-01-25,22.399675369262695,45.244606018066406,75.24506378173828,1877.0799560546875,0.2750000059604645,1.079901933670044
2016-01-26,22.5235652923584,45.57656478881836,74.92008972167969,1903.6300048828125,0.3000000119209289,1.0853049755096436
2016-01-27,21.04361343383789,44.74665451049805,75.03744506835938,1882.949951171875,0.3000000119209289,1.086495876312256
2016-01-28,21.194541931152344,45.4804801940918,73.56610107421875,1893.3599853515625,0.3179999887943268,1.090798020362854
2016-01-29,21.92662811279297,48.12753677368164,76.0213394165039,1940.239990234375,0.3000000119209289,1.0936970710754397
2016-02-01,21.721641540527344,47.79556655883789,76.27407836914062,1939.3800048828125,0.2949999868869781,1.0825908184051514
2016-02-02,21.282394409179688,46.30168533325195,74.24312591552734,1903.030029296875,0.3300000131130218,1.0897282361984253
2016-02-03,21.703622817993164,45.56785202026367,73.4848861694336,1912.530029296875,0.3330000042915344,1.0922038555145264
2016-02-04,21.878015518188477,45.42806625366211,73.79176330566406,1915.449951171875,0.2829999923706054,1.1091023683547974
2016-02-05,21.2936954498291,43.82060623168945,71.81494903564453,1880.050048828125,0.277999997138977,1.119996428489685
2016-02-08,21.517908096313477,43.165401458740234,69.0348129272461,1853.43994140625,0.2599999904632568,1.114504098892212
2016-02-09,21.51337623596191,43.05182266235352,68.5654296875,1852.2099609375,0.3000000119209289,1.1189812421798706
2016-02-10,21.350313186645508,43.4274787902832,66.5705795288086,1851.8599853515625,0.2980000078678131,1.1289994716644287
2016-02-11,21.22121810913086,43.40999221801758,65.04508972167969,1829.0799560546875,0.2730000019073486,1.128095269203186
2016-02-12,21.286901473999023,44.11764144897461,65.14437866210938,1864.780029296875,0.270000010728836,1.1317979097366333
2016-02-15,21.286901473999023,44.11764144897461,67.66278076171875,1864.780029296875,0.270000010728836,1.1225990056991575
2016-02-16,21.88707160949707,44.95352935791016,67.19342041015625,1895.5799560546875,0.2730000019073486,1.1174057722091677
2016-02-17,22.222265243530273,46.12378692626953,69.3597640991211,1926.8199462890625,0.2930000126361847,1.1147029399871826
2016-02-18,21.801008224487305,45.921409606933594,69.99163055419922,1917.8299560546875,0.2879999876022339,1.112297534942627
2016-02-19,21.751184463500977,45.59585189819336,71.30045318603516,1917.780029296875,0.2829999923706054,1.1110987663269043
2016-02-22,21.941429138183594,46.32616424560547,72.0316162109375,1945.5,0.2930000126361847,1.1123965978622437
2016-02-23,21.4454288482666,45.0327262878418,71.98648071289062,1921.27001953125,0.3179999887943268,1.102803349494934
2016-02-24,21.76477813720703,45.19111633300781,71.82400512695312,1929.800048828125,0.3149999976158142,1.1027060747146606
