Date,AAPL,MSFT,ASML.AS,^GSPC,EURUSD,^IRX,Portfolio_PnL,Loss
2016-01-05,-6344.6549716391755,1137.970424828775,1567.2109330465682,402.0408278719879,-487.82188267906577,-12.499999254941926,-3737.754667825852,3737.754667825852
2016-01-06,-4940.997543750728,-4583.0528417420865,-4713.743418312269,-2640.432600525204,-1400.5180244249273,-0.0,-18278.744428755213,18278.744428755213
2016-01-07,-10780.274072755965,-8850.500321991012,-4723.579760293653,-4797.163303868955,501.68603066333026,3.750000149011598,-28646.08142809724,28646.08142809724
2016-01-08,1318.4660737411102,765.5688911193449,-8626.092646662344,-2179.5074891695817,2708.690586592943,-0.0,-6012.874584378528,6012.874584378528
2016-01-11,4015.6965859159773,-143.4165820381843,5220.152010541677,170.58165916453459,275.52176991213355,3.750000149011626,9542.285443645149,-9542.285443645149
2016-01-12,3602.147798441082,2284.023346694149,791.2134629236064,1554.5028235549278,-1523.7224805747614,-8.749999105930321,6699.414951933073,-6699.414951933073
2016-01-13,-6511.570585072012,-5458.936924542882,-1691.6116898583246,-5056.475015581782,-258.25952207204796,-1.2500025331974238,-18978.103739660244,18978.103739660244
2016-01-14,5408.7662763645885,7017.175062641624,-478.33683134263424,3311.6121868767946,773.5831323187043,-6.2499977648258005,16026.549829094252,-16026.549829094252
2016-01-15,-6077.09933729992,-10183.875574355321,-9312.887245212618,-4367.154539632475,-497.9556861895526,4.249997437000275,-30434.722385252884,30434.722385252884
2016-01-18,0.0,0.0,1996.967773693718,0.0,1121.6093756382254,-0.0,3118.5771493319435,-3118.5771493319435
2016-01-19,-1212.5880659398974,-2117.223085164615,3637.1991118160986,106.33603748576573,-458.125951451003,-1.7499998211860794,-46.15195307483744,46.15195307483744
2016-01-20,335.9162039067979,1134.7251146320202,9085.928260556082,-2352.5532051796745,329.31237286915245,-5.749996751546867,8527.57875003283,-8527.57875003283
2016-01-21,-1268.7077517619339,-1530.6930112453542,8517.260841352801,1036.3977271896126,-660.2419254610372,-5.000002682209001,6089.015877391879,-6089.015877391879
