Date,AAPL,MSFT,ASML.AS,^GSPC,EURUSD,^IRX
2016-01-05,-0.025378463270522286,0.004551960657282752,0.007835948294452787,0.0020102041393599396,-0.002439109413395329,0.049999997019767706
2016-01-06,-0.019763741210160928,-0.018332370006664694,-0.02356871459405619,-0.01320216300262602,-0.007002590122124636,0.0
2016-01-07,-0.04312109258586229,-0.03540225238390389,-0.02361833537140793,-0.023985816519344776,0.0025084301533166513,-0.015000000596046392
2016-01-08,0.005273951161870661,0.0030624432176938137,-0.04313001926231532,-0.010897537445847908,0.013543452932964715,0.0
2016-01-11,0.016062611686291462,-0.0005734993948311415,0.02610053376235574,0.0008529082958226729,0.0013776088495606677,-0.015000000596046503
2016-01-12,0.01440867590156289,0.00913617535875988,0.003955956527718891,0.007772514117774639,-0.0076186124028738075,0.034999996423721286
2016-01-13,-0.026046367048086803,-0.021835828603091873,-0.008458172511382693,-0.025282375077908908,-0.0012912976103602398,0.005000010132789695
2016-01-14,0.021634894940859836,0.028068615692905228,-0.002391235197910471,0.016558060934383972,0.0038679156615935217,0.0249999910593032
2016-01-15,-0.02430822718460135,-0.04073567356854094,-0.04656466646791607,-0.021835772698162375,-0.002489778430947763,-0.0169999897480011
2016-01-18,0.0,0.0,0.009984840038837185,0.0,0.005608046878191127,0.0
2016-01-19,-0.0048506150629218925,-0.008468893797294437,0.018185883132454412,0.0005316801874288286,-0.002290629757255015,0.006999999284744318
2016-01-20,0.0013439276147894825,0.004538729295178145,0.04542976091784823,-0.011762766025898373,0.0016465618643457622,0.022999987006187467
2016-01-21,-0.005075270642988714,-0.0061223416531114945,0.04258641364867333,0.005181988635948063,-0.0033012096273051864,0.020000010728836004
2016-01-22,0.051801762442254026,0.035228256052894,0.03666902106918794,0.02008072688221347,-0.001380345726692188,0.01499998569488531
2016-01-25,-0.019715417462141952,-0.009608177923866716,-0.002874944705347234,-0.015761545172821467,-0.005816008700090541,-0.01299998164176941
2016-01-26,0.005515641140558244,0.007310195323305365,-0.004328228750858739,0.014045237830367907,0.004990796058909852,0.025000005960464422
2016-01-27,-0.06796499317722941,-0.018376971958957305,0.0015651813802090944,-0.010922922300528425,0.0010966944054519147,0.0
2016-01-28,0.007146578177064891,0.0162665447996483,-0.019802920118775786,0.005513350717591524,0.003951831818423023,0.017999976873397883
2016-01-29,0.033958101328676465,0.05657127621517218,0.03282974626753309,0.024458650994556432,0.0026542082203700143,-0.017999976873397883
