,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Student-t,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,GARCH-CCC,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA,FHS-EWMA
,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio,AAPL,AAPL,MSFT,MSFT,ASML.AS,ASML.AS,^GSPC,^GSPC,^IRX,^IRX,Portfolio,Portfolio
,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975,VaR_99,ES_975
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9554.859860049528,9603.141488236355,8507.334945880486,8550.361339938843,11266.931396059776,11323.32747854102,4855.433269214473,4879.7915432199,15.504481355724767,15.578698598158876,27528.46514303652,27667.75084030557,8408.720722862568,8771.515712565984,8710.090109491077,8802.215493360465,15354.339935580763,16665.194364372768,5764.8417279211235,6261.983481755127,11.19458882892594,11.780619269414617,27871.859748964944,28947.174421877542
2025-01-14,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9446.985251856695,9494.735706343217,8365.368611350435,8407.695964323086,11206.51275530416,11262.611336885839,4745.830402731705,4769.648993106952,15.269468187905385,15.342528227397462,27178.02812656685,27315.588274794467,8347.38236483978,8707.530905731213,8480.896404195524,8570.597638852289,15317.64947770628,16625.371512048183,5594.901010355429,6077.387613126181,10.892362660438787,11.462571730678645,27685.57202816087,28753.699598333704
2025-01-15,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9263.549817641948,9310.397037530529,8230.13567706328,8271.797144158689,10845.4471574946,10899.76785498609,4644.135537359922,4667.453383038649,15.074695115185694,15.146796093639317,26558.252841880818,26692.76122160758,8135.118486760288,8486.108884100484,8250.457128135107,8337.721039354481,14861.184458537864,16129.936456103456,5427.557842812543,5895.613299034817,10.600416260112635,11.155342100195782,26855.078613925605,27891.165202185934
2025-01-16,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,9370.082669445013,9417.454456236263,8667.903660661948,8711.720693776266,10511.047472837328,10563.72158897982,4901.711558757885,4926.2977066876065,14.925984583098323,14.997353312091885,27006.54685039157,27143.262626198975,8573.082366316145,8942.968753475805,9275.88671009444,9373.996444110307,14420.863038636515,15652.023235721506,6011.009828221627,6529.380341993418,10.38204504901365,10.925539278790598,28445.80328493869,29543.26107679687
2025-01-17,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,10648.551071125612,10702.21802601083,8510.956975075234,8554.001203976119,11110.667254969614,11166.29389408102,4794.3852077810625,4818.442881624586,14.816074232070765,14.886901763382728,28291.165343757304,28434.206570660506,10938.603852267874,11410.550870458565,9024.99177930217,9120.447833330854,15406.647466178987,16721.96757427935,5837.718557015711,6341.144978554375,10.232048847673852,10.76769086051938,27666.70795426822,28734.107736068465
2025-01-20,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,10376.76387006468,10429.092546964914,8431.357536894955,8474.009818804523,10790.540072469774,10844.590407917642,4789.03909895911,4813.070448605931,14.643055355294425,14.713030943053226,27758.836453590302,27899.256497333663,10684.074771070964,11145.04010983199,8961.971420511973,9056.760917171885,14982.264672152693,16261.353716763095,5879.420740202939,6386.4434263863,9.9271442390354,10.44682466679388,27063.659981752262,28107.793776311
2025-01-21,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,10092.352025534141,10143.280260806812,8270.56023354147,8312.420750826794,10493.1627805573,10545.748832619318,4683.5687344257285,4707.080748848624,14.478949368834986,14.548116900040625,27075.643781918763,27212.69979045947,10358.594812570134,10805.517290105921,8688.953667591339,8780.855494321917,14594.881390525625,15840.898151176487,5700.309899111518,6191.886631724358,9.624723433847691,10.12857230223535,26276.76674286966,27290.541678945057
2025-01-22,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,10726.728960210437,10780.780862390695,8127.053040744891,8168.2069297708385,10213.980881715883,10265.192244360713,4664.893491770967,4688.313549449719,14.3309235596899,14.39936221300572,27282.990711743863,27421.06769489395,11495.403345815166,11991.373526765816,8427.384186242056,8516.51942978292,14190.639144452416,15402.144311586844,5700.6557829335525,6192.2623434754205,9.360410700891395,9.850422946095456,26162.055178505987,27171.40446701341
2025-01-23,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,10430.287522761151,10482.879749695383,9467.460294570292,9515.214338098383,10109.277824646417,10159.97363028308,4606.295354618181,4629.42687554242,14.354927531188455,14.423484379866249,28058.31186244178,28200.206520681873,11183.046940877652,11665.54047746729,11105.218928154885,11222.677248774904,14066.599360944525,15267.514812061208,5613.148186586905,6097.20836823846,9.659012165736186,10.164656029988318,28141.722203590347,29227.44834741807
2025-01-24,10059.707779066615,10110.475274333086,9496.527740749036,9544.424912147568,9612.797947750241,9661.049090479144,5127.476051921674,5153.173862394049,18.046941778815405,18.1336780758578,27882.82260335884,28023.853153903223,11121.733839266759,11532.389443785494,10498.508318441834,10885.946023850798,10622.183396915294,11012.484357836323,5665.059091394012,5872.927331474607,19.86141395911077,20.563019313259232,30833.09854619085,31973.887267112103,12272.796423390475,13052.846841819819,11072.632554941958,12121.929531727945,11342.462277283234,12353.23449805764,6650.501434931902,7246.567963790463,27.1625250577928,28.983051399305715,35641.77175739532,36732.64253183709,10143.562839307811,10194.743236214288,9223.324970581793,9269.876893744484,10880.265028347094,10934.757168753717,4542.879875214242,4565.699138829592,14.223511256476456,14.291421012477961,28088.342310468823,28230.384838392685,10843.157847770182,11310.986839763997,10769.00087853364,10882.903068677875,15139.759333602742,16432.294255752593,5507.890217989086,5982.873284676622,9.371967968120154,9.862585229775327,27866.427984517653,28941.533096386866
