Date,Loss,VaR_Normal,ES_Normal,VaR_t,ES_t,VaR_HS,ES_HS,VaR_EWMA,ES_EWMA,VaR_FHS,ES_FHS
2020-01-29,-9729.320612557029,22164.96634747069,22278.508614559898,28006.36900342615,31488.641407689134,31648.605393074857,30853.41340431408,21081.68368402558,21185.48972437849,29620.795100784297,32145.648045387043
2020-01-30,-6879.020835585264,22157.826216057245,22271.40033891205,27972.999342998,31438.202018960812,31648.605393074857,30853.41340431408,21178.0177378007,21282.298126257083,29215.821389824254,31640.2126295688
2020-01-31,21598.323796522305,22152.549261427594,22266.139880432846,27938.907901622573,31387.149078851147,31648.605393074857,30853.41340431408,20903.67625743878,21006.605790659512,28231.737322754023,30507.575809825335
2020-02-03,-13613.96252427542,22235.303661536065,22349.186111328807,28051.422681022705,31514.23516145977,31648.605393074857,30853.41340431408,23711.194738054775,23827.948469620307,32786.66423340547,35625.750235604064
2020-02-04,-14104.70433312735,22233.307817303205,22347.2682771392,28034.489363971137,31481.373988693667,31648.605393074857,30853.41340431408,24262.52116874297,24381.989627204584,32989.66355015956,35897.82674791778
2020-02-05,-4055.284491905916,22241.058580376193,22355.083168663048,28049.58546244782,31492.085880833423,31648.605393074857,30853.41340431408,24858.582939896387,24980.986401709564,33312.78491607257,36299.68976767527
2020-02-06,-12795.342520275184,22222.157246805054,22336.020408469933,28029.86219038385,31490.98006795786,31648.605393074857,30853.41340431408,24211.81986496967,24331.03867062061,31422.664074838194,34134.121639145415
2020-02-07,3722.991844415874,22211.31758198391,22325.10448452493,27984.550649929013,31429.974767939886,31648.605393074857,30853.41340431408,24580.518014696347,24701.55228706153,31601.282365944047,34332.94165573172
2020-02-10,-13055.448006310424,22190.66283740717,22304.38292532433,27984.058583852784,31448.987844220617,31648.605393074857,30853.41340431408,23925.937856748562,24043.74898169779,29846.896570041587,32381.137583913125
2020-02-11,6702.953919348751,22193.35756734915,22307.160509642563,27943.325403392962,31370.82439872998,31648.605393074857,30853.41340431408,24360.812853900283,24480.765299826497,30337.986952534917,32977.634544958506
2020-02-12,-8654.22774661913,22206.014367917705,22319.792806389123,27963.702769152776,31394.816241579636,31648.605393074857,30853.41340431408,23925.54080909064,24043.3499789804,29130.656514523256,31640.803204406326
